Date,EUR/USD Close,USD/JPY Close,USD/CHF Close,GBP/USD Close,USD/CAD Close,EUR/GBP Close,EUR/JPY Close,EUR/CHF Close,AUD/USD Close,GBP/JPY Close,CHF/JPY Close,GBP/CHF Close,NZD/USD Close
2017-02-23,1.0578,112.717,1.00662,1.25445,1.31157,0.84318,119.23,1.0648,0.77147,141.39,111.95,1.26272,0.7224
2017-02-24,1.05577,112.008,1.00785,1.24511,1.31072,0.84788,118.267,1.06407,0.7672,139.466,111.13,1.2547,0.71959
2017-02-27,1.05867,112.761,1.00918,1.244,1.31518,0.851,119.35,1.0684,0.7677,140.27,111.715,1.25542,0.71942
2017-02-28,1.05907,112.331,1.00468,1.24031,1.32924,0.85371,118.956,1.06404,0.76643,139.326,111.75,1.24616,0.72006
2017-03-01,1.05514,113.619,1.00839,1.22935,1.33396,0.85821,119.879,1.06397,0.76828,139.678,112.667,1.23972,0.71607
2017-03-02,1.05052,114.469,1.01362,1.22592,1.3395,0.85685,120.248,1.06483,0.75701,140.331,112.915,1.24256,0.70641
2017-03-03,1.06121,113.928,1.00913,1.22948,1.33787,0.86307,120.901,1.07089,0.759,140.073,112.885,1.24067,0.70367
2017-03-06,1.05839,113.903,1.01183,1.2236,1.341,0.8649,120.53,1.07099,0.758,139.374,112.561,1.23811,0.6992
2017-03-07,1.05667,114.026,1.0134,1.22033,1.34172,0.8656,120.491,1.07093,0.75892,139.147,112.61,1.23673,0.69576
2017-03-08,1.05442,114.381,1.01461,1.2167,1.3488,0.86653,120.606,1.0697,0.7535,139.168,112.735,1.2341,0.69145
2017-03-09,1.05897,114.934,1.01041,1.2174,1.35067,0.86954,121.715,1.07001,0.75088,139.967,113.74,1.23048,0.68985
2017-03-10,1.06934,114.743,1.00954,1.21807,1.34576,0.87785,122.69,1.07954,0.75488,139.764,113.652,1.22963,0.6931
2017-03-13,1.0654,114.811,1.0067,1.22252,1.34446,0.87139,122.322,1.07274,0.7573,140.367,114.01,1.2308,0.69209
2017-03-14,1.0611,114.705,1.00969,1.2158,1.3483,0.87268,121.716,1.0713,0.7566,139.462,113.59,1.22763,0.69237
2017-03-15,1.06947,113.47,1.00097,1.22776,1.33267,0.87097,121.348,1.0705,0.76932,139.31,113.33,1.22893,0.70279
2017-03-16,1.07593,113.342,0.99623,1.23552,1.33483,0.8708,121.953,1.07208,0.7666,140.044,113.749,1.23054,0.69749
2017-03-17,1.07415,112.679,0.99814,1.23928,1.33403,0.86672,121.043,1.072,0.77025,139.62,112.87,1.2366,0.70175
2017-03-20,1.07394,112.545,0.99869,1.23563,1.33496,0.8691,120.869,1.07249,0.7737,139.065,112.69,1.23396,0.70539
